code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.09660,地平线机器人-W,2025-05-06 00:00:00,7.58,7.49,7.73,7.26,39.01,0.01163,153556654,1153534416.0,-0.1333333333333305,7.5
HK.09660,地平线机器人-W,2025-05-07 00:00:00,7.6,7.28,7.69,7.05,37.916,0.01314,173474800,1265842785.0,-2.8037383177570088,7.49
HK.09660,地平线机器人-W,2025-05-08 00:00:00,7.09,7.0,7.09,6.82,36.458,0.01103,145534715,1010900694.0,-3.8461538461538494,7.28
HK.09660,地平线机器人-W,2025-05-09 00:00:00,7.01,6.9,7.03,6.73,35.937,0.00737,97232943,666305882.0,-1.4285714285714235,7.0
HK.09660,地平线机器人-W,2025-05-12 00:00:00,7.19,7.2,7.3,6.97,37.5,0.01302,171924221,1226755641.0,4.347826086956519,6.9
HK.09660,地平线机器人-W,2025-05-13 00:00:00,7.2,7.05,7.42,6.97,36.718,0.00807,106482692,759805200.0,-2.083333333333338,7.2
HK.09660,地平线机器人-W,2025-05-14 00:00:00,7.09,7.13,7.37,7.07,37.135,0.00849,112098974,806713247.0,1.1347517730496466,7.05
HK.09660,地平线机器人-W,2025-05-15 00:00:00,7.1,7.04,7.18,6.9,36.666,0.00436,57598741,405483967.0,-1.262272089761569,7.13
HK.09660,地平线机器人-W,2025-05-16 00:00:00,6.89,7.41,7.49,6.89,38.593,0.00856,112992641,825353385.0,5.25568181818182,7.04
HK.09660,地平线机器人-W,2025-05-19 00:00:00,7.29,7.48,7.55,7.12,38.958,0.00951,125472595,924209448.0,0.9446693657220012,7.41
HK.09660,地平线机器人-W,2025-05-20 00:00:00,7.36,7.57,7.72,7.3,39.427,0.00947,125021519,945417164.0,1.2032085561497308,7.48
HK.09660,地平线机器人-W,2025-05-21 00:00:00,7.66,7.53,7.7,7.4,39.218,0.00737,97329860,732171831.0,-0.5284015852047561,7.57
HK.09660,地平线机器人-W,2025-05-22 00:00:00,7.53,7.81,7.94,7.4,40.677,0.01196,157875329,1214006832.0,3.718459495351917,7.53
HK.09660,地平线机器人-W,2025-05-23 00:00:00,7.85,7.6,8.08,7.53,39.583,0.01516,200168461,1558353101.0,-2.688860435339308,7.81
